municipio;provincia;fecha;horario;temperatura_actual;probabilidad_precipitacion;temperatura_minima;temperatura_maxima;
Ames;A Coruña;sáb 10;18–24 h;13°C;100% ;13;17;;
Ames;A Coruña;dom 11;00–06 h;13°C;100% ;9;16;;
Ames;A Coruña;dom 11;06–12 h;15°C;100% ;9;16;;
Ames;A Coruña;dom 11;12–18 h;12°C;90% ;9;16;;
Ames;A Coruña;dom 11;18–24 h;10°C;45% ;9;16;;
Ames;A Coruña;dom 11;00–12 h;;45% ;9;16;;
Ames;A Coruña;lun 12;12–24 h;;45% ;5;15;;
Ames;A Coruña;mar 13;00–12 h;;0% ;4;16;;
Ames;A Coruña;mar 13;12–24 h;;0% ;4;16;;
Ames;A Coruña;mié 14; ;;0% ;4;20;;
Ames;A Coruña;jue 15; ;;15% ;8;21;;
Ames;A Coruña;vie 16; ;;0% ;8;21;;
Arteixo;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Arteixo;A Coruña;dom 11;00–06 h;13°C;100% ;10;15;;
Arteixo;A Coruña;dom 11;06–12 h;15°C;90% ;10;15;;
Arteixo;A Coruña;dom 11;12–18 h;13°C;80% ;10;15;;
Arteixo;A Coruña;dom 11;18–24 h;10°C;20% ;10;15;;
Arteixo;A Coruña;dom 11;00–12 h;;45% ;10;15;;
Arteixo;A Coruña;lun 12;12–24 h;;45% ;8;16;;
Arteixo;A Coruña;mar 13;00–12 h;;0% ;6;15;;
Arteixo;A Coruña;mar 13;12–24 h;;0% ;6;15;;
Arteixo;A Coruña;mié 14; ;;0% ;7;19;;
Arteixo;A Coruña;jue 15; ;;15% ;12;20;;
Arteixo;A Coruña;vie 16; ;;5% ;11;21;;
Betanzos;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Betanzos;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Betanzos;A Coruña;dom 11;06–12 h;15°C;95% ;8;15;;
Betanzos;A Coruña;dom 11;12–18 h;13°C;85% ;8;15;;
Betanzos;A Coruña;dom 11;18–24 h;8°C;30% ;8;15;;
Betanzos;A Coruña;dom 11;00–12 h;;35% ;8;15;;
Betanzos;A Coruña;lun 12;12–24 h;;35% ;4;16;;
Betanzos;A Coruña;mar 13;00–12 h;;0% ;3;16;;
Betanzos;A Coruña;mar 13;12–24 h;;0% ;3;16;;
Betanzos;A Coruña;mié 14; ;;0% ;6;21;;
Betanzos;A Coruña;jue 15; ;;5% ;11;21;;
Betanzos;A Coruña;vie 16; ;;5% ;11;21;;
Boiro;A Coruña;sáb 10;18–24 h;14°C;100% ;12;17;;
Boiro;A Coruña;dom 11;00–06 h;13°C;100% ;10;16;;
Boiro;A Coruña;dom 11;06–12 h;16°C;100% ;10;16;;
Boiro;A Coruña;dom 11;12–18 h;13°C;85% ;10;16;;
Boiro;A Coruña;dom 11;18–24 h;11°C;65% ;10;16;;
Boiro;A Coruña;dom 11;00–12 h;;50% ;10;16;;
Boiro;A Coruña;lun 12;12–24 h;;5% ;7;15;;
Boiro;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Boiro;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Boiro;A Coruña;mié 14; ;;5% ;6;19;;
Boiro;A Coruña;jue 15; ;;10% ;9;21;;
Boiro;A Coruña;vie 16; ;;0% ;9;22;;
Cambre;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Cambre;A Coruña;dom 11;00–06 h;13°C;100% ;8;16;;
Cambre;A Coruña;dom 11;06–12 h;15°C;95% ;8;16;;
Cambre;A Coruña;dom 11;12–18 h;13°C;85% ;8;16;;
Cambre;A Coruña;dom 11;18–24 h;9°C;30% ;8;16;;
Cambre;A Coruña;dom 11;00–12 h;;35% ;8;16;;
Cambre;A Coruña;lun 12;12–24 h;;40% ;5;16;;
Cambre;A Coruña;mar 13;00–12 h;;0% ;4;16;;
Cambre;A Coruña;mar 13;12–24 h;;0% ;4;16;;
Cambre;A Coruña;mié 14; ;;0% ;6;21;;
Cambre;A Coruña;jue 15; ;;5% ;10;22;;
Cambre;A Coruña;vie 16; ;;5% ;10;21;;
Carballo;A Coruña;sáb 10;18–24 h;13°C;100% ;11;16;;
Carballo;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Carballo;A Coruña;dom 11;06–12 h;14°C;95% ;8;15;;
Carballo;A Coruña;dom 11;12–18 h;12°C;75% ;8;15;;
Carballo;A Coruña;dom 11;18–24 h;8°C;20% ;8;15;;
Carballo;A Coruña;dom 11;00–12 h;;45% ;8;15;;
Carballo;A Coruña;lun 12;12–24 h;;50% ;5;15;;
Carballo;A Coruña;mar 13;00–12 h;;0% ;3;15;;
Carballo;A Coruña;mar 13;12–24 h;;0% ;3;15;;
Carballo;A Coruña;mié 14; ;;0% ;4;20;;
Carballo;A Coruña;jue 15; ;;15% ;9;21;;
Carballo;A Coruña;vie 16; ;;5% ;10;20;;
Coruña, A;A Coruña;sáb 10;18–24 h;14°C;100% ;13;17;;
Coruña, A;A Coruña;dom 11;00–06 h;13°C;100% ;11;16;;
Coruña, A;A Coruña;dom 11;06–12 h;16°C;100% ;11;16;;
Coruña, A;A Coruña;dom 11;12–18 h;14°C;75% ;11;16;;
Coruña, A;A Coruña;dom 11;18–24 h;11°C;50% ;11;16;;
Coruña, A;A Coruña;dom 11;00–12 h;;55% ;11;16;;
Coruña, A;A Coruña;lun 12;12–24 h;;25% ;9;16;;
Coruña, A;A Coruña;mar 13;00–12 h;;0% ;7;15;;
Coruña, A;A Coruña;mar 13;12–24 h;;0% ;7;15;;
Coruña, A;A Coruña;mié 14; ;;0% ;8;20;;
Coruña, A;A Coruña;jue 15; ;;5% ;12;21;;
Coruña, A;A Coruña;vie 16; ;;0% ;12;21;;
Culleredo;A Coruña;sáb 10;18–24 h;13°C;100% ;12;15;;
Culleredo;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Culleredo;A Coruña;dom 11;06–12 h;14°C;95% ;8;15;;
Culleredo;A Coruña;dom 11;12–18 h;12°C;90% ;8;15;;
Culleredo;A Coruña;dom 11;18–24 h;9°C;25% ;8;15;;
Culleredo;A Coruña;dom 11;00–12 h;;35% ;8;15;;
Culleredo;A Coruña;lun 12;12–24 h;;40% ;6;15;;
Culleredo;A Coruña;mar 13;00–12 h;;0% ;4;15;;
Culleredo;A Coruña;mar 13;12–24 h;;0% ;4;15;;
Culleredo;A Coruña;mié 14; ;;0% ;6;20;;
Culleredo;A Coruña;jue 15; ;;5% ;10;21;;
Culleredo;A Coruña;vie 16; ;;5% ;10;21;;
Fene;A Coruña;sáb 10;18–24 h;13°C;95% ;12;16;;
Fene;A Coruña;dom 11;00–06 h;12°C;100% ;9;15;;
Fene;A Coruña;dom 11;06–12 h;15°C;95% ;9;15;;
Fene;A Coruña;dom 11;12–18 h;12°C;75% ;9;15;;
Fene;A Coruña;dom 11;18–24 h;9°C;50% ;9;15;;
Fene;A Coruña;dom 11;00–12 h;;55% ;9;15;;
Fene;A Coruña;lun 12;12–24 h;;20% ;7;16;;
Fene;A Coruña;mar 13;00–12 h;;0% ;5;17;;
Fene;A Coruña;mar 13;12–24 h;;0% ;5;17;;
Fene;A Coruña;mié 14; ;;0% ;6;21;;
Fene;A Coruña;jue 15; ;;5% ;11;21;;
Fene;A Coruña;vie 16; ;;0% ;11;21;;
Ferrol;A Coruña;sáb 10;18–24 h;13°C;95% ;13;16;;
Ferrol;A Coruña;dom 11;00–06 h;13°C;100% ;10;15;;
Ferrol;A Coruña;dom 11;06–12 h;15°C;95% ;10;15;;
Ferrol;A Coruña;dom 11;12–18 h;13°C;75% ;10;15;;
Ferrol;A Coruña;dom 11;18–24 h;10°C;50% ;10;15;;
Ferrol;A Coruña;dom 11;00–12 h;;55% ;10;15;;
Ferrol;A Coruña;lun 12;12–24 h;;20% ;8;16;;
Ferrol;A Coruña;mar 13;00–12 h;;0% ;6;16;;
Ferrol;A Coruña;mar 13;12–24 h;;0% ;6;16;;
Ferrol;A Coruña;mié 14; ;;0% ;7;20;;
Ferrol;A Coruña;jue 15; ;;5% ;11;21;;
Ferrol;A Coruña;vie 16; ;;0% ;10;22;;
Laracha, A;A Coruña;sáb 10;18–24 h;13°C;100% ;11;15;;
Laracha, A;A Coruña;dom 11;00–06 h;12°C;100% ;8;14;;
Laracha, A;A Coruña;dom 11;06–12 h;14°C;90% ;8;14;;
Laracha, A;A Coruña;dom 11;12–18 h;12°C;80% ;8;14;;
Laracha, A;A Coruña;dom 11;18–24 h;8°C;20% ;8;14;;
Laracha, A;A Coruña;dom 11;00–12 h;;45% ;8;14;;
Laracha, A;A Coruña;lun 12;12–24 h;;45% ;6;15;;
Laracha, A;A Coruña;mar 13;00–12 h;;0% ;3;15;;
Laracha, A;A Coruña;mar 13;12–24 h;;0% ;3;15;;
Laracha, A;A Coruña;mié 14; ;;0% ;5;19;;
Laracha, A;A Coruña;jue 15; ;;5% ;10;20;;
Laracha, A;A Coruña;vie 16; ;;5% ;11;20;;
Narón;A Coruña;sáb 10;18–24 h;13°C;95% ;12;16;;
Narón;A Coruña;dom 11;00–06 h;13°C;100% ;9;15;;
Narón;A Coruña;dom 11;06–12 h;15°C;95% ;9;15;;
Narón;A Coruña;dom 11;12–18 h;13°C;75% ;9;15;;
Narón;A Coruña;dom 11;18–24 h;10°C;50% ;9;15;;
Narón;A Coruña;dom 11;00–12 h;;55% ;9;15;;
Narón;A Coruña;lun 12;12–24 h;;20% ;8;16;;
Narón;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Narón;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Narón;A Coruña;mié 14; ;;0% ;6;20;;
Narón;A Coruña;jue 15; ;;5% ;11;21;;
Narón;A Coruña;vie 16; ;;0% ;10;21;;
Noia;A Coruña;sáb 10;18–24 h;14°C;100% ;13;16;;
Noia;A Coruña;dom 11;00–06 h;13°C;100% ;10;15;;
Noia;A Coruña;dom 11;06–12 h;14°C;100% ;10;15;;
Noia;A Coruña;dom 11;12–18 h;12°C;90% ;10;15;;
Noia;A Coruña;dom 11;18–24 h;10°C;45% ;10;15;;
Noia;A Coruña;dom 11;00–12 h;;55% ;10;15;;
Noia;A Coruña;lun 12;12–24 h;;40% ;7;15;;
Noia;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Noia;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Noia;A Coruña;mié 14; ;;5% ;6;19;;
Noia;A Coruña;jue 15; ;;15% ;9;20;;
Noia;A Coruña;vie 16; ;;0% ;9;21;;
Oleiros;A Coruña;sáb 10;18–24 h;13°C;100% ;12;16;;
Oleiros;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Oleiros;A Coruña;dom 11;06–12 h;14°C;100% ;8;15;;
Oleiros;A Coruña;dom 11;12–18 h;12°C;80% ;8;15;;
Oleiros;A Coruña;dom 11;18–24 h;9°C;50% ;8;15;;
Oleiros;A Coruña;dom 11;00–12 h;;55% ;8;15;;
Oleiros;A Coruña;lun 12;12–24 h;;25% ;6;15;;
Oleiros;A Coruña;mar 13;00–12 h;;0% ;4;15;;
Oleiros;A Coruña;mar 13;12–24 h;;0% ;4;15;;
Oleiros;A Coruña;mié 14; ;;0% ;7;20;;
Oleiros;A Coruña;jue 15; ;;5% ;11;21;;
Oleiros;A Coruña;vie 16; ;;0% ;11;21;;
Ordes;A Coruña;sáb 10;18–24 h;12°C;100% ;11;14;;
Ordes;A Coruña;dom 11;00–06 h;11°C;100% ;7;14;;
Ordes;A Coruña;dom 11;06–12 h;13°C;100% ;7;14;;
Ordes;A Coruña;dom 11;12–18 h;11°C;90% ;7;14;;
Ordes;A Coruña;dom 11;18–24 h;7°C;30% ;7;14;;
Ordes;A Coruña;dom 11;00–12 h;;35% ;7;14;;
Ordes;A Coruña;lun 12;12–24 h;;50% ;5;14;;
Ordes;A Coruña;mar 13;00–12 h;;0% ;3;15;;
Ordes;A Coruña;mar 13;12–24 h;;0% ;3;15;;
Ordes;A Coruña;mié 14; ;;0% ;6;19;;
Ordes;A Coruña;jue 15; ;;5% ;9;20;;
Ordes;A Coruña;vie 16; ;;5% ;10;19;;
Rianxo;A Coruña;sáb 10;18–24 h;14°C;100% ;13;17;;
Rianxo;A Coruña;dom 11;00–06 h;13°C;100% ;10;16;;
Rianxo;A Coruña;dom 11;06–12 h;15°C;100% ;10;16;;
Rianxo;A Coruña;dom 11;12–18 h;13°C;90% ;10;16;;
Rianxo;A Coruña;dom 11;18–24 h;10°C;55% ;10;16;;
Rianxo;A Coruña;dom 11;00–12 h;;45% ;10;16;;
Rianxo;A Coruña;lun 12;12–24 h;;35% ;7;15;;
Rianxo;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Rianxo;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Rianxo;A Coruña;mié 14; ;;5% ;6;19;;
Rianxo;A Coruña;jue 15; ;;20% ;9;21;;
Rianxo;A Coruña;vie 16; ;;0% ;9;21;;
Ribeira;A Coruña;sáb 10;18–24 h;14°C;100% ;13;16;;
Ribeira;A Coruña;dom 11;00–06 h;13°C;100% ;11;15;;
Ribeira;A Coruña;dom 11;06–12 h;14°C;100% ;11;15;;
Ribeira;A Coruña;dom 11;12–18 h;13°C;80% ;11;15;;
Ribeira;A Coruña;dom 11;18–24 h;11°C;65% ;11;15;;
Ribeira;A Coruña;dom 11;00–12 h;;50% ;11;15;;
Ribeira;A Coruña;lun 12;12–24 h;;5% ;9;15;;
Ribeira;A Coruña;mar 13;00–12 h;;0% ;7;15;;
Ribeira;A Coruña;mar 13;12–24 h;;0% ;7;15;;
Ribeira;A Coruña;mié 14; ;;5% ;8;17;;
Ribeira;A Coruña;jue 15; ;;10% ;11;20;;
Ribeira;A Coruña;vie 16; ;;0% ;11;20;;
Sada;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Sada;A Coruña;dom 11;00–06 h;13°C;100% ;9;15;;
Sada;A Coruña;dom 11;06–12 h;15°C;100% ;9;15;;
Sada;A Coruña;dom 11;12–18 h;13°C;80% ;9;15;;
Sada;A Coruña;dom 11;18–24 h;9°C;55% ;9;15;;
Sada;A Coruña;dom 11;00–12 h;;55% ;9;15;;
Sada;A Coruña;lun 12;12–24 h;;25% ;6;16;;
Sada;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Sada;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Sada;A Coruña;mié 14; ;;0% ;6;21;;
Sada;A Coruña;jue 15; ;;5% ;11;22;;
Sada;A Coruña;vie 16; ;;0% ;11;21;;
Santiago de Compostela;A Coruña;sáb 10;18–24 h;13°C;100% ;12;15;;
Santiago de Compostela;A Coruña;dom 11;00–06 h;12°C;100% ;8;14;;
Santiago de Compostela;A Coruña;dom 11;06–12 h;13°C;100% ;8;14;;
Santiago de Compostela;A Coruña;dom 11;12–18 h;11°C;90% ;8;14;;
Santiago de Compostela;A Coruña;dom 11;18–24 h;9°C;35% ;8;14;;
Santiago de Compostela;A Coruña;dom 11;00–12 h;;40% ;8;14;;
Santiago de Compostela;A Coruña;lun 12;12–24 h;;45% ;4;14;;
Santiago de Compostela;A Coruña;mar 13;00–12 h;;0% ;4;16;;
Santiago de Compostela;A Coruña;mar 13;12–24 h;;0% ;4;16;;
Santiago de Compostela;A Coruña;mié 14; ;;0% ;5;19;;
Santiago de Compostela;A Coruña;jue 15; ;;20% ;9;20;;
Santiago de Compostela;A Coruña;vie 16; ;;5% ;9;20;;
Teo;A Coruña;sáb 10;18–24 h;13°C;100% ;12;16;;
Teo;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Teo;A Coruña;dom 11;06–12 h;14°C;100% ;8;15;;
Teo;A Coruña;dom 11;12–18 h;12°C;90% ;8;15;;
Teo;A Coruña;dom 11;18–24 h;9°C;45% ;8;15;;
Teo;A Coruña;dom 11;00–12 h;;35% ;8;15;;
Teo;A Coruña;lun 12;12–24 h;;35% ;5;15;;
Teo;A Coruña;mar 13;00–12 h;;0% ;4;16;;
Teo;A Coruña;mar 13;12–24 h;;0% ;4;16;;
Teo;A Coruña;mié 14; ;;0% ;5;20;;
Teo;A Coruña;jue 15; ;;20% ;8;21;;
Teo;A Coruña;vie 16; ;;5% ;8;20;;
Alcoy/Alcoi;Alacant/Alicante;sáb 10;18–24 h;12°C;0% ;10;19;;
Alcoy/Alcoi;Alacant/Alicante;dom 11;00–06 h;11°C;0% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;dom 11;06–12 h;19°C;0% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;dom 11;12–18 h;14°C;0% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;dom 11;18–24 h;13°C;0% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;dom 11;00–12 h;;0% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;lun 12;12–24 h;;5% ;11;21;;
Alcoy/Alcoi;Alacant/Alicante;mar 13;00–12 h;;95% ;13;18;;
Alcoy/Alcoi;Alacant/Alicante;mar 13;12–24 h;;60% ;13;18;;
Alcoy/Alcoi;Alacant/Alicante;mié 14; ;;95% ;13;18;;
Alcoy/Alcoi;Alacant/Alicante;jue 15; ;;100% ;11;17;;
Alcoy/Alcoi;Alacant/Alicante;vie 16; ;;100% ;11;17;;
Alicante/Alacant;Alacant/Alicante;sáb 10;18–24 h;16°C;0% ;12;22;;
Alicante/Alacant;Alacant/Alicante;dom 11;00–06 h;14°C;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;dom 11;06–12 h;21°C;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;dom 11;12–18 h;17°C;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;dom 11;18–24 h;15°C;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;dom 11;00–12 h;;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;lun 12;12–24 h;;0% ;13;21;;
Alicante/Alacant;Alacant/Alicante;mar 13;00–12 h;;5% ;13;22;;
Alicante/Alacant;Alacant/Alicante;mar 13;12–24 h;;0% ;13;22;;
Alicante/Alacant;Alacant/Alicante;mié 14; ;;90% ;15;22;;
Alicante/Alacant;Alacant/Alicante;jue 15; ;;100% ;14;21;;
Alicante/Alacant;Alacant/Alicante;vie 16; ;;70% ;14;20;;
Benidorm;Alacant/Alicante;sáb 10;18–24 h;17°C;0% ;13;20;;
Benidorm;Alacant/Alicante;dom 11;00–06 h;17°C;0% ;15;20;;
Benidorm;Alacant/Alicante;dom 11;06–12 h;19°C;0% ;15;20;;
Benidorm;Alacant/Alicante;dom 11;12–18 h;18°C;0% ;15;20;;
Benidorm;Alacant/Alicante;dom 11;18–24 h;17°C;0% ;15;20;;
Benidorm;Alacant/Alicante;dom 11;00–12 h;;0% ;15;20;;
Benidorm;Alacant/Alicante;lun 12;12–24 h;;0% ;15;20;;
Benidorm;Alacant/Alicante;mar 13;00–12 h;;5% ;16;21;;
Benidorm;Alacant/Alicante;mar 13;12–24 h;;5% ;16;21;;
Benidorm;Alacant/Alicante;mié 14; ;;90% ;16;20;;
Benidorm;Alacant/Alicante;jue 15; ;;100% ;14;20;;
Benidorm;Alacant/Alicante;vie 16; ;;100% ;15;19;;
Campello, el;Alacant/Alicante;sáb 10;18–24 h;16°C;0% ;12;22;;
Campello, el;Alacant/Alicante;dom 11;00–06 h;14°C;0% ;13;21;;
Campello, el;Alacant/Alicante;dom 11;06–12 h;21°C;0% ;13;21;;
Campello, el;Alacant/Alicante;dom 11;12–18 h;17°C;0% ;13;21;;
Campello, el;Alacant/Alicante;dom 11;18–24 h;16°C;0% ;13;21;;
Campello, el;Alacant/Alicante;dom 11;00–12 h;;0% ;13;21;;
Campello, el;Alacant/Alicante;lun 12;12–24 h;;0% ;14;21;;
Campello, el;Alacant/Alicante;mar 13;00–12 h;;5% ;14;22;;
Campello, el;Alacant/Alicante;mar 13;12–24 h;;0% ;14;22;;
Campello, el;Alacant/Alicante;mié 14; ;;90% ;16;22;;
Campello, el;Alacant/Alicante;jue 15; ;;100% ;14;21;;
Campello, el;Alacant/Alicante;vie 16; ;;70% ;15;20;;
Crevillent;Alacant/Alicante;sáb 10;18–24 h;13°C;0% ;11;21;;
Crevillent;Alacant/Alicante;dom 11;00–06 h;12°C;0% ;11;22;;
Crevillent;Alacant/Alicante;dom 11;06–12 h;21°C;0% ;11;22;;
Crevillent;Alacant/Alicante;dom 11;12–18 h;16°C;0% ;11;22;;
Crevillent;Alacant/Alicante;dom 11;18–24 h;13°C;0% ;11;22;;
Crevillent;Alacant/Alicante;dom 11;00–12 h;;0% ;11;22;;
Crevillent;Alacant/Alicante;lun 12;12–24 h;;0% ;10;22;;
Crevillent;Alacant/Alicante;mar 13;00–12 h;;5% ;12;23;;
Crevillent;Alacant/Alicante;mar 13;12–24 h;;0% ;12;23;;
Crevillent;Alacant/Alicante;mié 14; ;;90% ;12;21;;
Crevillent;Alacant/Alicante;jue 15; ;;100% ;13;20;;
Crevillent;Alacant/Alicante;vie 16; ;;75% ;13;19;;
Dénia;Alacant/Alicante;sáb 10;18–24 h;15°C;0% ;12;22;;
Dénia;Alacant/Alicante;dom 11;00–06 h;14°C;0% ;13;23;;
Dénia;Alacant/Alicante;dom 11;06–12 h;22°C;0% ;13;23;;
Dénia;Alacant/Alicante;dom 11;12–18 h;17°C;0% ;13;23;;
Dénia;Alacant/Alicante;dom 11;18–24 h;16°C;0% ;13;23;;
Dénia;Alacant/Alicante;dom 11;00–12 h;;0% ;13;23;;
Dénia;Alacant/Alicante;lun 12;12–24 h;;0% ;12;21;;
Dénia;Alacant/Alicante;mar 13;00–12 h;;10% ;15;21;;
Dénia;Alacant/Alicante;mar 13;12–24 h;;15% ;15;21;;
Dénia;Alacant/Alicante;mié 14; ;;90% ;14;21;;
Dénia;Alacant/Alicante;jue 15; ;;100% ;11;20;;
Dénia;Alacant/Alicante;vie 16; ;;100% ;13;20;;
Elche/Elx;Alacant/Alicante;sáb 10;18–24 h;13°C;0% ;10;21;;
Elche/Elx;Alacant/Alicante;dom 11;00–06 h;13°C;0% ;11;22;;
Elche/Elx;Alacant/Alicante;dom 11;06–12 h;21°C;0% ;11;22;;
Elche/Elx;Alacant/Alicante;dom 11;12–18 h;16°C;0% ;11;22;;
Elche/Elx;Alacant/Alicante;dom 11;18–24 h;13°C;0% ;11;22;;
Elche/Elx;Alacant/Alicante;dom 11;00–12 h;;0% ;11;22;;
Elche/Elx;Alacant/Alicante;lun 12;12–24 h;;0% ;10;22;;
Elche/Elx;Alacant/Alicante;mar 13;00–12 h;;5% ;11;22;;
Elche/Elx;Alacant/Alicante;mar 13;12–24 h;;0% ;11;22;;
Elche/Elx;Alacant/Alicante;mié 14; ;;90% ;12;21;;
Elche/Elx;Alacant/Alicante;jue 15; ;;100% ;13;20;;
Elche/Elx;Alacant/Alicante;vie 16; ;;75% ;14;19;;
Elda;Alacant/Alicante;sáb 10;18–24 h;11°C;0% ;9;20;;
Elda;Alacant/Alicante;dom 11;00–06 h;11°C;0% ;10;21;;
Elda;Alacant/Alicante;dom 11;06–12 h;20°C;0% ;10;21;;
Elda;Alacant/Alicante;dom 11;12–18 h;14°C;0% ;10;21;;
Elda;Alacant/Alicante;dom 11;18–24 h;11°C;0% ;10;21;;
Elda;Alacant/Alicante;dom 11;00–12 h;;0% ;10;21;;
Elda;Alacant/Alicante;lun 12;12–24 h;;0% ;8;21;;
Elda;Alacant/Alicante;mar 13;00–12 h;;0% ;10;21;;
Elda;Alacant/Alicante;mar 13;12–24 h;;0% ;10;21;;
Elda;Alacant/Alicante;mié 14; ;;85% ;12;20;;
Elda;Alacant/Alicante;jue 15; ;;100% ;11;19;;
Elda;Alacant/Alicante;vie 16; ;;80% ;10;18;;
Ibi;Alacant/Alicante;sáb 10;18–24 h;10°C;0% ;8;17;;
Ibi;Alacant/Alicante;dom 11;00–06 h;11°C;0% ;9;19;;
Ibi;Alacant/Alicante;dom 11;06–12 h;18°C;0% ;9;19;;
Ibi;Alacant/Alicante;dom 11;12–18 h;13°C;0% ;9;19;;
Ibi;Alacant/Alicante;dom 11;18–24 h;12°C;0% ;9;19;;
Ibi;Alacant/Alicante;dom 11;00–12 h;;0% ;9;19;;
Ibi;Alacant/Alicante;lun 12;12–24 h;;5% ;9;20;;
Ibi;Alacant/Alicante;mar 13;00–12 h;;100% ;11;17;;
Ibi;Alacant/Alicante;mar 13;12–24 h;;70% ;11;17;;
Ibi;Alacant/Alicante;mié 14; ;;95% ;12;18;;
Ibi;Alacant/Alicante;jue 15; ;;100% ;10;17;;
Ibi;Alacant/Alicante;vie 16; ;;100% ;10;16;;
Jávea/Xàbia;Alacant/Alicante;sáb 10;18–24 h;15°C;0% ;10;22;;
Jávea/Xàbia;Alacant/Alicante;dom 11;00–06 h;14°C;0% ;11;23;;
Jávea/Xàbia;Alacant/Alicante;dom 11;06–12 h;22°C;0% ;11;23;;
Jávea/Xàbia;Alacant/Alicante;dom 11;12–18 h;16°C;0% ;11;23;;
Jávea/Xàbia;Alacant/Alicante;dom 11;18–24 h;15°C;0% ;11;23;;
Jávea/Xàbia;Alacant/Alicante;dom 11;00–12 h;;0% ;11;23;;
Jávea/Xàbia;Alacant/Alicante;lun 12;12–24 h;;0% ;11;21;;
Jávea/Xàbia;Alacant/Alicante;mar 13;00–12 h;;5% ;13;22;;
Jávea/Xàbia;Alacant/Alicante;mar 13;12–24 h;;5% ;13;22;;
Jávea/Xàbia;Alacant/Alicante;mié 14; ;;90% ;13;22;;
Jávea/Xàbia;Alacant/Alicante;jue 15; ;;100% ;10;20;;
Jávea/Xàbia;Alacant/Alicante;vie 16; ;;100% ;11;20;;
Mutxamel;Alacant/Alicante;sáb 10;18–24 h;15°C;0% ;11;21;;
Mutxamel;Alacant/Alicante;dom 11;00–06 h;13°C;0% ;13;21;;
Mutxamel;Alacant/Alicante;dom 11;06–12 h;21°C;0% ;13;21;;
Mutxamel;Alacant/Alicante;dom 11;12–18 h;16°C;0% ;13;21;;
Mutxamel;Alacant/Alicante;dom 11;18–24 h;15°C;0% ;13;21;;
Mutxamel;Alacant/Alicante;dom 11;00–12 h;;0% ;13;21;;
Mutxamel;Alacant/Alicante;lun 12;12–24 h;;0% ;13;21;;
Mutxamel;Alacant/Alicante;mar 13;00–12 h;;5% ;13;22;;
Mutxamel;Alacant/Alicante;mar 13;12–24 h;;0% ;13;22;;
Mutxamel;Alacant/Alicante;mié 14; ;;90% ;15;22;;
Mutxamel;Alacant/Alicante;jue 15; ;;100% ;14;21;;
Mutxamel;Alacant/Alicante;vie 16; ;;70% ;14;20;;
Novelda;Alacant/Alicante;sáb 10;18–24 h;14°C;0% ;11;21;;
Novelda;Alacant/Alicante;dom 11;00–06 h;13°C;0% ;12;22;;
Novelda;Alacant/Alicante;dom 11;06–12 h;22°C;0% ;12;22;;
Novelda;Alacant/Alicante;dom 11;12–18 h;16°C;0% ;12;22;;
Novelda;Alacant/Alicante;dom 11;18–24 h;13°C;0% ;12;22;;
Novelda;Alacant/Alicante;dom 11;00–12 h;;0% ;12;22;;
Novelda;Alacant/Alicante;lun 12;12–24 h;;0% ;10;22;;
Novelda;Alacant/Alicante;mar 13;00–12 h;;0% ;12;23;;
Novelda;Alacant/Alicante;mar 13;12–24 h;;0% ;12;23;;
Novelda;Alacant/Alicante;mié 14; ;;90% ;13;21;;
Novelda;Alacant/Alicante;jue 15; ;;100% ;13;20;;
Novelda;Alacant/Alicante;vie 16; ;;80% ;13;19;;
Orihuela;Alacant/Alicante;sáb 10;18–24 h;13°C;0% ;11;21;;
Orihuela;Alacant/Alicante;dom 11;00–06 h;12°C;0% ;11;22;;
Orihuela;Alacant/Alicante;dom 11;06–12 h;22°C;0% ;11;22;;
